Ile jest 2+2?,3,2, 1,0,4,matematyka
Ile jest 23*2?,0,46,48,49,42,matematyka
Jaki jest wzór na pole kwadratu?,0,a^2,a^3,a+b,(a+b)^2,matematyka
Ile jest 2+2*2?,1,8,6,16,4,matematyka
6 kwadransów to,0,90 minut,45 minut,2 godziny,godzina,matematyka
15% z 80 to,1,8,12,21,16,matematyka
240% z 25 to,3,15,70,55,60,matematyka
Który ułamek NIE odpowiada ułamkowi ⅜?,2,6/16,9/24,15/32,0,375,matematyka
y = 5x - 2  zaznacz wzór funkcji równoległej do tej podanej,1,y=10x+2,y=5x+5,y=4x-5,y=-5x-2,matematyka
X po obniżce o 15 % jest równy 850,1,x=865,x=1000,x=850,15,x=977,50,matematyka
Jak wygląda Twierdzenie Pitagorasa?,3,a²+b²=c⁴,a²+b³=c,a³+b³=c³,a²+b²=c²,matematyka
Jaki jest wzór na obietość sześcianu?,1,a^2,a^3,a+b,(a+b)^2,matematyka
Graniastosłup ma 18 krawędzi. Ile wierzchołków ma ten graniastosłup?,2,18,6,12,36,matematyka
Największą liczbą całkowitą spełniającą nierówność (4+x)2<(x−4)(x+4) jest,2,-5,-4,-3,-2,matematyka
Jeżeli autobus gwałtownie ruszy osoba w nim stojąca pochyli się:,2,do przodu,nie pochyli się,do tyłu,na bok,fizyka
JOd czego NIE zależy siła tarcia kinetycznego,2,żadna z odpowiedzi nie jest poprawna,wartości siły dociskającej ciała do siebie,pola powierzchni styku ciał,rodzaju powierzchni ciał trących o siebie,fizyka
Od czego nie zależy siła oporu powietrza,3,szybkości,kształtu,wielkości,masy,fizyka
Om(Ω) to jednostka,3,natężenia,czasu,szybkości,rezystancji,fizyka
Zero absolutne to:,3,temperatura zamarzania wody,stan naelektryzowania neutralnego,Najniższa z temperatur zanotowana na ziemi,Najniższa z możliwych temperatur,fizyka
Jednostką masy NIE jest,3,1kg,1t,1g,1l,fizyka
Ile województw mamy obecnie?,0,16,17,15,21,geografia
Ile państw sąsiaduje z naszym krajem?,2,3,6,7,8,geografia
W jakim kraju leży Normandia?,0,Francja,Wielka Brytania,Niemczech,USA,geografia
Góra Kościuszki znajduje się w,2,USA,Polsce,Australii,Rosji,geografia
Mount Everest ma wysokość,1,8 260 m,8 849 m,8 999 m,8 551m,geografia
Najwyższy wodospad na świecie to:,1,Wiktorii,Salto Angel,Niagara,Tugela Falls,geografia
Gdzie znajduje się Pacanów:,3,województwie małopolskim,województwie łódzkim,województwie śląskim,województwie świętokrzyskim,geografia
Najwyższe drzewa na świecie to:,3,Eukaliptusy,Klony,Jodły kaukaskie,Sekwoje,geografia
Polska ma najdłuższą granicę z:,1,Niamcami,Republiką Czeską,Białorusą,Ukrainą,geografia
Przylądek Igielny znajduje się w:,0,Afryce,Australii,Azji,Ameryce Południowej,geografia
Największą wyspą świata jest:,3,Madagaskar,Borneo,Nowa Gwinea,Grenlandia,geografia
Lajkonik to jedno ze skojarzeń z,2,Warszawa,Szczecin,Kraków,Gdańsk,geografia
Pustynia Gobi leży w:,0,Azji,Afryce,Australii,Ameryce Południowej,geografia
Jezioro Loch Ness znajduje się w,3,Francji,Anglii,Szwajcarii,Szkocji,geografia
Jezioro Wiktorii to największe jezioro:,2,Australii,Azji,Afryki,Ameryki Południowej,geografia
Oficjalna nazwa Australii to:,1,Republika Australii,Związek Australijski,Królestwo Australii,Republika Federalna Australii,geografia
Pampa to kraina geograficzna położona w:,0,Ameryce Południowej,Europie,Afryce,Azji,geografia
Najwyższą górą w Afryce jest:,1,Góra Stanleya,Kilimandżaro,Mount Speke,Kenia,geografia
Babia Góra to jeden ze szczytów:,2,Pieniny,Tatr,Beskidów Zachodnich,Beskidów Małych,geografia
Ile stacji badawczych ma Polska na Antarktydzie?,3,3,0,2,1,geografia
Najdłuższy rynek Europy znajduje się w:,0,Pułtusku,Toruniu,Gdańsku,Krakowie,geografia
W trójkącie prostokątnym dwa dłuższe boki mają długości 5–√ i 3. Obwód tego trójkąta jest równy,3,√30,5√5,√15,5+√5,matematyka
W trapezie równoramiennym który nie jest równoległobokiem kąty przy ramieniu różnią się o 50∘. Kąt przy krótszej podstawie tego trapezu jest równy,2,125°,130°,115°,65°,matematyka
Długość promienia r okręgu opisanego na kwadracie jest równa 23–√. Długość boku tego kwadratu ma wartość:,0,2√6,4√3,4√6,2√3,matematyka
Obwody dwóch trójkątów podobnych których pola pozostają w stosunku 1:4 mogą być równe,3,18 i 144,2 i 10,4 i 12,7 i 28,matematyka
W rombie bok i krótsza przekątna mają taką samą długość równą a. Wówczas dłuższa przekątna ma długość:,2,a√2,2a,a√3,a√6,matematyka
W równoległoboku kąt rozwarty jest cztery razy większy od kąta ostrego. Zatem kąt ostry ma:,0,36,45,60,30,matematyka
Jakim symbolem oznaczamy siłę?,0,F,M,P,S,fizyka
każdej akcji towarzyszy reakcja jest to która zasada dynamiki,0,3,4,1,2,fizyka
p = m*v to,0,pęd,prędkość,moc,przyśpieszenie,fizyka
Jaka jest podstawowa jednostka natężenia prądu elektrycznego?,1,volt,amper,niuton,sekunda,fizyka
Teoria względności został napisana przez,1,Tesla,Einstein,Newton,Bohr,fizyka
Prawo powszechnego ciążenia to,1,tarcie,grawitacja,indukcja magnetyczna,ciężar,fizyka
kierunek zwrot i moduł tyczy sie,1,pracy,wektora,prędkości światła,indukcją,fizyka
Z czym związane jest prawo Ohma?,2,grawitacją,prędkość światła,natężeniem prądu,teorią strun,fizyka
Podaj jednostkę mocy,2,1S,1N,1W,1M,fizyka